No.,1文字目,2文字目,出現数
1353,さ,す,30
1354,さ,せ,98
1355,さ,そ,12
1356,さ,た,54
1357,さ,ち,2
1358,さ,つ,75
1359,さ,て,33
1360,さ,と,38
1361,さ,な,76
1362,さ,に,57
1363,さ,ぬ,1
1364,さ,ね,12
1365,さ,の,44
1366,さ,は,27
1367,さ,ひ,9
1368,さ,ふ,1
1369,さ,へ,4
1370,さ,ほ,4
1371,さ,ま,138
1372,さ,み,13
1373,さ,む,42
1374,さ,め,14
1375,さ,も,9
1376,さ,や,12
1377,さ,ゆ,10
1378,さ,よ,8
1379,さ,ら,74
1380,さ,り,13
1381,さ,る,80
1382,さ,れ,407
1383,さ,ろ,3
1384,さ,わ,38
1385,さ,ゐ,0
1386,さ,ゑ,0
1387,さ,を,51
1388,さ,ん,771
1389,さ,ヴ,0
1390,さ,が,70
1391,さ,ぎ,31
1392,さ,ぐ,10
1393,さ,げ,13
1394,さ,ご,4
1395,さ,ざ,3
1396,さ,じ,1
1397,さ,ず,23
1398,さ,ぜ,0
1399,さ,ぞ,3
1400,さ,だ,29
1401,さ,ぢ,0
1402,さ,づ,0
1403,さ,で,19
1404,さ,ど,1
1405,さ,ば,8
1406,さ,び,7
1407,さ,ぶ,21
1408,さ,べ,29
1409,さ,ぼ,7
1410,さ,ぱ,0
1411,さ,ぴ,0
1412,さ,ぷ,2
1413,さ,ぺ,1
1414,さ,ぽ,11
1415,さ,ぁ,4
1416,さ,ぃ,0
1417,さ,ぅ,0
1418,さ,ぇ,0
1419,さ,ぉ,0
1420,さ,っ,111
1421,さ,ゃ,0
1422,さ,ゅ,0
1423,さ,ょ,0
1424,さ,ゎ,0
1425,さ,ヵ,0
1426,さ,ヶ,0
1427,さ,ー,34
1428,さ,～,0
1429,さ,…,0
1430,さ,・,1
1431,さ,、,23
1432,さ,。,13
1433,さ,，,0
1434,さ,．,0
1435,さ,；,0
1436,さ,：,0
1437,さ,！,0
1438,さ,？,0
1439,さ,「,0
1440,さ,」,6
1441,さ,（,2
1442,さ,）,2
1443,さ,［,0
1444,さ,］,0
1445,さ,｛,0
1446,さ,｝,0
1447,さ,‘,0
1448,さ,’,0
1449,さ,“,0
1450,さ,”,0
1451,さ,1,0
1452,さ,2,0
1453,さ,3,0
1454,さ,4,0
1455,さ,5,0
